Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG-1	SMG-2	SMG-3
HC660_RS01300	104	17	26	32	85	66
HC660_RS01305	0	0	0	0	0	0
HC660_RS01310	0	0	0	0	0	0
HC660_RS01315	285	206	102	269	157	233
HC660_RS01320	453	354	292	391	486	349
HC660_RS01325	634	335	273	366	269	220
HC660_RS01330	166	144	119	197	133	143
HC660_RS01335	341	209	278	264	213	315
HC660_RS01340	386	205	220	234	325	389
HC660_RS01345	199	148	194	161	251	371
HC660_RS01350	355	357	337	323	396	543
HC660_RS01355	33	18	41	20	32	42
HC660_RS01360	521	704	971	848	451	764
HC660_RS01365	79	90	74	105	112	84
HC660_RS01370	1825	2711	1932	3110	1945	2905
HC660_RS01375	143	39	85	96	90	58
HC660_RS01380	536	252	371	361	614	240
HC660_RS01385	408	319	398	302	363	356
HC660_RS01390	73	48	53	64	104	95
HC660_RS01395	49	42	50	36	32	37
HC660_RS01400	85	98	35	125	85	52
HC660_RS01405	207	88	69	111	142	149
HC660_RS01410	175	128	124	206	131	210
HC660_RS01415	50	8	7	8	46	4
HC660_RS01420	23	4	0	3	24	2
HC660_RS01425	278	69	98	99	189	94
HC660_RS01430	288	151	132	227	256	192
HC660_RS01435	76	7	18	16	48	17
HC660_RS01440	125	30	38	76	76	43
HC660_RS01445	98	11	5	19	58	19
HC660_RS01450	39	2	4	12	31	7
HC660_RS01455	175	54	75	76	89	118
HC660_RS01460	159	20	23	36	109	28
HC660_RS01465	159	125	119	142	129	121
HC660_RS01470	17	32	16	37	25	16
HC660_RS01475	20	13	13	19	31	17
HC660_RS01480	38	23	19	27	35	24
HC660_RS01485	127	54	47	43	112	98
HC660_RS01490	83	61	62	79	95	87
HC660_RS01495	75	73	88	90	89	119
HC660_RS20945	0	0	1	0	4	0
HC660_RS01500	139	470	328	310	108	316
HC660_RS01505	12	3	3	5	9	2
HC660_RS01510	177	404	239	418	265	343
HC660_RS21265	5	0	0	0	8	0
HC660_RS01515	91	27	30	47	72	37
HC660_RS01520	13	5	7	10	9	9
HC660_RS01525	140	79	55	91	107	30
HC660_RS01530	143	125	100	156	158	95
HC660_RS01535	79	22	35	41	52	32
HC660_RS01540	151	149	55	130	186	196
HC660_RS01545	88	19	32	33	81	67
HC660_RS01550	38	11	16	10	43	20
HC660_RS01555	26	16	25	27	47	62
HC660_RS01560	26	0	9	2	24	11
HC660_RS01565	1253	1183	843	1263	1299	1854
HC660_RS01570	150	102	103	132	152	185
HC660_RS01575	240	202	257	276	209	230
HC660_RS01580	46	28	28	19	46	43
HC660_RS01585	195	130	135	167	280	243
HC660_RS01590	245	280	222	222	198	209
