Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG13-1	SMG13-2	SMG13-3	SMG19_5-1	SMG19_5-2	SMG19_5-3	SMG6_5-1	SMG6_5-2	SMG6_5-3
HC660_RS12925	123	52	100	73	75	85	82	58	55	64	110	82
HC660_RS12930	38	11	3	43	25	30	25	11	25	18	49	16
HC660_RS12935	187	116	315	235	166	166	382	302	427	341	545	266
HC660_RS12940	144	45	55	91	86	74	125	64	84	129	175	155
HC660_RS12945	68	39	26	20	37	19	9	10	6	21	61	22
HC660_RS12950	236	236	352	328	276	249	381	357	280	422	421	300
HC660_RS12955	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS21100	6	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12965	213	158	75	123	81	83	109	69	105	95	133	128
HC660_RS12970	275	275	115	183	87	81	108	83	136	110	91	142
HC660_RS21105	861	894	91	158	23	64	47	35	48	91	81	69
HC660_RS12980	2551	2190	334	291	157	211	184	237	235	251	202	262
HC660_RS12985	126	37	26	41	24	25	30	32	25	37	79	42
HC660_RS12990	678	674	524	688	265	271	321	319	268	790	813	519
HC660_RS12995	517	594	240	568	114	114	161	81	83	398	358	245
HC660_RS13000	0	3	1	3	3	3	0	0	4	7	4	4
HC660_RS21280	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS13005	290	55	68	87	40	24	49	34	30	71	93	43
HC660_RS13010	274	69	71	77	59	48	68	74	56	82	139	83
HC660_RS13015	24	17	23	12	34	13	24	18	20	22	24	11
HC660_RS13020	14	0	3	5	2	3	7	3	2	11	8	11
HC660_RS13025	6	2	2	2	4	1	3	3	8	0	2	2
HC660_RS13030	1073	1777	1493	1410	925	545	185	2675	670	1806	1319	927
HC660_RS13035	759	855	847	859	514	295	118	1337	334	886	622	432
HC660_RS13040	666	715	852	770	552	291	134	1338	348	846	648	452
HC660_RS13045	597	1035	994	848	547	382	146	1707	414	1100	689	524
HC660_RS13050	721	1181	1243	972	675	363	170	1827	495	1390	782	660
HC660_RS13055	24	7	22	24	14	13	2	23	2	21	18	13
HC660_RS13060	140	145	89	105	78	91	75	90	117	92	128	139
HC660_RS13065	8	1	0	3	1	1	2	1	0	0	0	3
HC660_RS13070	29	18	13	15	17	15	10	4	9	15	15	22
HC660_RS13075	24	15	17	29	6	17	5	6	3	19	32	18
HC660_RS13080	80	38	30	63	32	30	18	7	10	39	34	39
HC660_RS13085	158	63	26	37	35	26	48	21	44	57	115	54
HC660_RS13090	12	1	9	9	10	8	1	1	7	1	4	3
HC660_RS13095	24	15	7	9	16	10	14	12	8	4	17	16
HC660_RS21115	6	7	1	13	3	1	3	4	0	0	3	4
HC660_RS13100	20	21	31	16	14	15	12	19	13	16	21	19
HC660_RS13105	100	114	70	99	81	86	50	45	57	57	31	90
HC660_RS13110	320	380	347	313	214	254	315	354	421	507	384	537
HC660_RS13115	230	80	35	23	60	84	14	7	19	42	20	38
HC660_RS13120	103	18	4	12	43	22	2	3	8	17	1	11
HC660_RS13125	68	9	4	11	31	25	7	1	8	11	10	7
HC660_RS13130	45	30	11	8	15	13	4	0	24	26	3	17
HC660_RS13135	52	25	26	7	23	10	9	0	9	26	16	19
HC660_RS13140	209	77	67	76	100	72	58	84	73	85	125	86
HC660_RS13145	123	56	92	146	133	179	149	115	128	85	288	221
HC660_RS13150	572	309	334	224	186	231	521	195	523	344	432	251
HC660_RS13155	164	63	67	97	66	63	88	69	96	94	211	165
HC660_RS13160	21	5	8	3	8	10	9	3	8	6	9	14
HC660_RS13165	78	14	10	62	51	26	22	12	16	18	33	51
HC660_RS13170	146	93	93	173	150	130	73	42	87	101	104	174
HC660_RS13175	36	67	71	20	37	31	49	30	53	78	45	31
HC660_RS13180	2953	1853	1949	1614	1735	3427	887	814	1646	3330	1370	3185
HC660_RS13185	379	93	156	97	155	209	160	113	234	320	111	275
HC660_RS13190	700	203	253	156	142	262	342	241	398	943	193	341
HC660_RS13195	33	59	40	57	38	29	24	23	29	44	50	51
HC660_RS13200	52	57	80	101	51	81	60	29	52	113	113	78
HC660_RS13205	566	901	496	956	578	443	203	75	508	925	1072	1696
HC660_RS13210	238	303	301	207	196	219	138	154	330	415	265	371
HC660_RS13215	2277	1237	1457	2062	2142	1410	977	583	1394	1715	1817	2349
HC660_RS13220	422	517	494	506	433	309	170	117	324	494	408	495
HC660_RS13225	132	102	109	46	50	75	48	9	39	183	100	103
HC660_RS13230	826	455	342	235	205	275	76	47	233	632	573	482
HC660_RS13235	635	340	185	150	160	194	128	50	211	436	346	374
HC660_RS13240	1234	1060	752	1071	612	752	565	1024	722	1242	905	1361
HC660_RS13245	624	267	228	250	176	238	149	219	253	430	331	396
HC660_RS13250	31	43	26	16	27	30	17	26	26	21	40	28
HC660_RS13255	625	364	375	328	289	251	468	271	326	435	604	492
HC660_RS13260	100	33	41	49	61	85	57	28	35	20	37	44
HC660_RS13265	1291	1472	1103	1620	1014	940	942	1311	1208	2217	1772	2138
HC660_RS13270	1221	1024	1041	2363	1399	1012	816	956	958	1594	1532	1696
HC660_RS13275	1729	1537	1292	2989	2207	1525	1316	1438	1232	2042	1840	2470
HC660_RS13280	622	548	397	1104	961	608	426	545	405	662	819	1101
HC660_RS13285	395	228	166	498	452	418	199	320	222	250	450	568
HC660_RS13290	1533	2286	1643	1909	1110	1083	1233	1014	1339	2398	1836	1811
HC660_RS13295	1412	3418	2111	2283	1350	1224	1435	1701	1958	2934	2017	2212
HC660_RS13300	1110	1509	963	1148	719	610	673	965	743	1510	1095	1289
HC660_RS13305	590	630	543	613	380	268	308	448	348	829	603	577
HC660_RS13310	2090	2233	1555	3028	2101	1284	972	1871	1233	2454	2246	2255
HC660_RS13315	78	38	38	46	37	49	32	49	27	29	27	41
HC660_RS13320	3	0	0	1	6	0	1	0	2	3	3	2
HC660_RS13325	15	10	8	27	21	9	15	21	14	7	16	41
HC660_RS13330	36	8	20	41	39	31	19	34	28	32	21	68
HC660_RS13335	578	215	198	483	571	327	266	299	207	356	288	557
HC660_RS13340	171	97	61	193	196	136	93	60	102	93	121	137
HC660_RS13345	1278	1143	852	2023	1348	965	788	714	1045	1327	1396	1926
HC660_RS13350	790	488	467	784	726	588	496	428	712	597	804	1153
HC660_RS13355	116	33	91	82	68	70	121	76	135	57	137	165
HC660_RS13360	413	620	271	334	207	225	273	328	297	619	405	440
HC660_RS13365	643	573	596	910	526	372	546	510	518	602	846	908
HC660_RS13370	1169	841	757	387	649	597	190	222	141	508	333	388
HC660_RS13375	2084	3053	2045	3496	2131	1706	1143	2214	1301	2983	2625	3040
HC660_RS13380	679	721	448	821	609	499	332	616	369	755	890	1043
HC660_RS13385	34	12	10	17	33	32	9	7	8	11	16	27
HC660_RS13390	650	173	243	268	419	389	178	153	191	281	198	316
HC660_RS13395	674	786	461	724	563	441	636	563	509	741	631	947
HC660_RS13400	3079	2188	1888	3082	2311	2092	2389	2147	2156	3180	3240	4759
HC660_RS13405	1213	1140	1150	1807	1236	1154	1065	1526	1413	1658	1591	1884
HC660_RS13410	3251	1766	2121	3477	3095	2818	1708	2298	2007	2601	2753	3267
HC660_RS13415	144	166	208	56	76	76	104	136	202	348	254	128
HC660_RS13420	118	63	38	29	81	82	43	57	52	94	76	113
HC660_RS13425	3528	3056	3348	4214	2872	2577	3687	4040	4190	5716	4108	5105
HC660_RS13430	226	121	194	70	97	92	235	205	260	262	248	244
HC660_RS13435	234	141	152	84	125	120	90	55	125	182	93	141
HC660_RS13440	28	16	19	12	20	21	25	20	18	18	18	39
HC660_RS13445	26	4	13	3	13	2	1	10	0	7	7	4
HC660_RS13450	900	716	926	932	827	926	686	1363	1096	1326	1185	1415
HC660_RS13455	2064	1125	1101	2042	2112	1661	1207	1149	1098	1494	1482	1835
HC660_RS13460	1159	552	439	951	1250	1116	618	566	568	646	678	987
HC660_RS13465	110	47	29	58	128	114	54	23	39	53	31	73
HC660_RS13470	998	256	294	338	728	846	382	263	322	359	363	559
HC660_RS13475	502	151	184	211	329	331	296	113	211	212	240	266
HC660_RS13480	191	273	406	145	142	112	92	120	153	258	208	209
HC660_RS13485	512	613	812	228	276	296	186	224	304	694	513	412
HC660_RS13490	811	794	411	207	217	272	180	490	196	589	237	389
HC660_RS13495	341	463	367	195	135	183	183	304	205	401	224	278
