Geneid	Ctrl13-1	Ctrl13-2	Ctrl13-3	Ctrl19_5-1	Ctrl19_5-2	Ctrl19_5-3	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl6_5-1	Ctrl6_5-2	Ctrl6_5-3
HC660_RS05435	2087	2348	1187	1469	1079	1732	3355	1079	1041	1217	1774	1308
HC660_RS05440	184	86	129	94	66	121	112	85	116	85	94	129
HC660_RS05445	38	14	35	18	13	25	21	20	39	73	36	63
HC660_RS05450	186	239	135	205	151	358	250	178	154	200	128	297
HC660_RS05455	443	323	278	286	282	409	248	229	315	178	265	271
HC660_RS05460	176	133	151	149	145	199	100	129	183	68	98	108
HC660_RS05465	131	154	119	108	92	136	144	94	154	103	112	74
HC660_RS05470	890	546	729	614	661	718	447	544	478	400	461	343
HC660_RS05475	48	29	44	31	25	28	21	25	23	21	53	14
HC660_RS05480	374	253	298	232	265	370	220	192	127	189	189	221
HC660_RS05485	358	218	313	151	265	293	212	190	115	341	230	270
HC660_RS05490	263	156	244	169	142	248	137	154	262	238	152	244
HC660_RS05495	2087	794	1535	1218	1125	1792	610	1198	1146	967	758	1446
HC660_RS05500	1625	1064	1089	1102	852	1387	837	786	1102	921	810	1121
HC660_RS05505	20	15	8	21	7	23	15	4	3	6	10	14
HC660_RS05510	5194	6212	3293	4414	2814	5581	6136	3623	3739	3417	4266	5006
HC660_RS05515	0	0	1	1	1	2	2	2	4	3	1	3
HC660_RS05520	1	0	0	0	0	0	3	1	0	0	1	0
HC660_RS05525	18	24	16	10	9	16	48	11	22	31	17	29
HC660_RS05530	28	25	33	20	8	22	46	29	47	82	29	40
HC660_RS05535	104	106	119	96	74	97	124	69	174	208	72	82
HC660_RS05540	1799	1799	1605	1868	1110	1796	1344	1059	1518	1423	1033	1134
HC660_RS05545	412	433	394	300	237	306	591	286	712	375	193	312
HC660_RS05550	14	13	11	8	9	12	9	7	26	25	2	10
HC660_RS05555	730	584	846	600	548	748	619	532	955	1078	574	638
HC660_RS05560	595	408	597	547	392	654	335	453	447	558	541	508
HC660_RS05565	335	251	250	228	142	177	169	140	214	240	219	208
HC660_RS05570	280	180	265	186	146	239	176	153	210	154	193	227
HC660_RS05575	531	552	541	478	399	719	399	332	301	338	391	509
HC660_RS05580	263	277	224	200	190	364	209	132	132	223	144	253
HC660_RS05585	465	428	688	461	410	460	402	289	338	273	229	339
HC660_RS05590	312	245	214	174	170	278	313	214	135	152	194	221
HC660_RS05595	174	134	115	144	114	161	149	116	75	89	85	106
HC660_RS05600	1371	806	994	692	548	787	654	694	544	684	731	493
HC660_RS05605	276	223	261	249	277	429	280	273	163	125	158	330
HC660_RS05610	2718	1094	1702	1427	1398	2007	2036	1844	1597	1401	1804	1703
HC660_RS05615	3704	1734	2365	2196	2184	3221	3065	2787	2237	2146	2272	2383
HC660_RS05620	2644	1147	2138	1791	1981	2828	2738	2521	2283	2520	1845	2300
HC660_RS05625	724	510	313	246	270	688	824	402	443	782	419	1087
HC660_RS05630	5384	3044	3048	2552	4058	8493	3629	2597	2060	3717	2618	9101
HC660_RS05635	563	639	567	671	847	1165	1026	478	367	824	708	1069
HC660_RS05640	92	76	120	59	80	105	85	61	77	109	96	88
HC660_RS21005	21	11	16	14	10	12	8	13	24	5	20	12
HC660_RS05650	1192	839	828	854	846	1311	632	658	482	357	415	755
HC660_RS05655	429	348	300	357	346	527	295	282	203	110	147	321
HC660_RS05660	4829	5229	3419	4121	3276	7040	3346	3861	4058	3443	5052	6630
HC660_RS05665	307	176	77	85	63	99	191	78	142	84	101	169
HC660_RS05670	390	174	312	243	179	350	104	223	195	57	97	257
HC660_RS05675	1292	755	1007	1140	870	1947	539	805	569	112	279	1058
HC660_RS05680	1297	855	923	1034	858	1648	831	730	619	232	215	1015
HC660_RS05685	1161	1556	1027	738	917	1152	784	690	1011	753	683	1212
HC660_RS05690	36	24	19	4	15	28	43	26	15	28	25	20
