time_min,rep,relative_OD,group,treatment,time_h
500,SR（6.5 Gy）-3,-0.7059173883886466,1g+6.5,DDAC,8.333333333333334
520,SR（6.5 Gy）-1,-0.5519891865894689,1g+6.5,DDAC,8.666666666666666
520,SR（6.5 Gy）-2,-0.7359946244514084,1g+6.5,DDAC,8.666666666666666
520,SR（6.5 Gy）-3,-0.7114773619524009,1g+6.5,DDAC,8.666666666666666
540,SR（6.5 Gy）-1,-0.5575984126726641,1g+6.5,DDAC,9
540,SR（6.5 Gy）-2,-0.7440456171823474,1g+6.5,DDAC,9
540,SR（6.5 Gy）-3,-0.7114773619524009,1g+6.5,DDAC,9
560,SR（6.5 Gy）-1,-0.5732834673545228,1g+6.5,DDAC,9.333333333333334
560,SR（6.5 Gy）-2,-0.7348764291651806,1g+6.5,DDAC,9.333333333333334
560,SR（6.5 Gy）-3,-0.7168387618614551,1g+6.5,DDAC,9.333333333333334
580,SR（6.5 Gy）-1,-0.5747377352315515,1g+6.5,DDAC,9.666666666666666
580,SR（6.5 Gy）-2,-0.74303924309098,1g+6.5,DDAC,9.666666666666666
580,SR（6.5 Gy）-3,-0.7433478861300373,1g+6.5,DDAC,9.666666666666666
600,SR（6.5 Gy）-1,-0.5688168648390548,1g+6.5,DDAC,10
600,SR（6.5 Gy）-2,-0.7410264949082452,1g+6.5,DDAC,10
600,SR（6.5 Gy）-3,-0.7038324093982182,1g+6.5,DDAC,10
620,SR（6.5 Gy）-1,-0.5565596808603768,1g+6.5,DDAC,10.333333333333334
620,SR（6.5 Gy）-2,-0.7523202523030071,1g+6.5,DDAC,10.333333333333334
620,SR（6.5 Gy）-3,-0.7139594882522281,1g+6.5,DDAC,10.333333333333334
640,SR（6.5 Gy）-1,-0.5804508221131682,1g+6.5,DDAC,10.666666666666666
640,SR（6.5 Gy）-2,-0.7396846572322969,1g+6.5,DDAC,10.666666666666666
640,SR（6.5 Gy）-3,-0.7445393280582357,1g+6.5,DDAC,10.666666666666666
660,SR（6.5 Gy）-1,-0.5854367905347804,1g+6.5,DDAC,11
660,SR（6.5 Gy）-2,-0.7442692595720679,1g+6.5,DDAC,11
660,SR（6.5 Gy）-3,-0.7283558267090834,1g+6.5,DDAC,11
680,SR（6.5 Gy）-1,-0.5784771883299964,1g+6.5,DDAC,11.333333333333334
680,SR（6.5 Gy）-2,-0.759923960254505,1g+6.5,DDAC,11.333333333333334
680,SR（6.5 Gy）-3,-0.7373907948461634,1g+6.5,DDAC,11.333333333333334
700,SR（6.5 Gy）-1,-0.6180533842646464,1g+6.5,DDAC,11.666666666666666
700,SR（6.5 Gy）-2,-0.7572403015649837,1g+6.5,DDAC,11.666666666666666
700,SR（6.5 Gy）-3,-0.7009531357889912,1g+6.5,DDAC,11.666666666666666
720,SR（6.5 Gy）-1,-0.5740105858145284,1g+6.5,DDAC,12
720,SR（6.5 Gy）-2,-0.7431510642858403,1g+6.5,DDAC,12
720,SR（6.5 Gy）-3,-0.7357029335758557,1g+6.5,DDAC,12
740,SR（6.5 Gy）-1,-0.594266134767295,1g+6.5,DDAC,12.333333333333334
740,SR（6.5 Gy）-2,-0.756569374395822,1g+6.5,DDAC,12.333333333333334
740,SR（6.5 Gy）-3,-0.7267672670607651,1g+6.5,DDAC,12.333333333333334
760,SR（6.5 Gy）-1,-0.5878258984686553,1g+6.5,DDAC,12.666666666666666
760,SR（6.5 Gy）-2,-0.7592530497477185,1g+6.5,DDAC,12.666666666666666
760,SR（6.5 Gy）-3,-0.7324265422465089,1g+6.5,DDAC,12.666666666666666
780,SR（6.5 Gy）-1,-0.5794120593438622,1g+6.5,DDAC,13
780,SR（6.5 Gy）-2,-0.7486302028597431,1g+6.5,DDAC,13
780,SR（6.5 Gy）-3,-0.7150516285584372,1g+6.5,DDAC,13
800,SR（6.5 Gy）-1,-0.5881375427779565,1g+6.5,DDAC,13.333333333333334
800,SR（6.5 Gy）-2,-0.751537503938985,1g+6.5,DDAC,13.333333333333334
800,SR（6.5 Gy）-3,-0.711080214643001,1g+6.5,DDAC,13.333333333333334
820,SR（6.5 Gy）-1,-0.5952010057811609,1g+6.5,DDAC,13.666666666666666
820,SR（6.5 Gy）-2,-0.7626076189440262,1g+6.5,DDAC,13.666666666666666
820,SR（6.5 Gy）-3,-0.7227958827346082,1g+6.5,DDAC,13.666666666666666
840,SR（6.5 Gy）-1,-0.5826321774931827,1g+6.5,DDAC,14
840,SR（6.5 Gy）-2,-0.754892089797668,1g+6.5,DDAC,14
840,SR（6.5 Gy）-3,-0.7241858687282275,1g+6.5,DDAC,14
860,SR（6.5 Gy）-1,-0.5712059727729307,1g+6.5,DDAC,14.333333333333334
860,SR（6.5 Gy）-2,-0.7497483981459708,1g+6.5,DDAC,14.333333333333334
860,SR（6.5 Gy）-3,-0.7333201088980179,1g+6.5,DDAC,14.333333333333334
880,SR（6.5 Gy）-1,-0.5896956404963871,1g+6.5,DDAC,14.666666666666666
880,SR（6.5 Gy）-2,-0.7669685788940767,1g+6.5,DDAC,14.666666666666666
880,SR（6.5 Gy）-3,-0.7176330564802538,1g+6.5,DDAC,14.666666666666666
900,SR（6.5 Gy）-1,-0.576919090611566,1g+6.5,DDAC,15
900,SR（6.5 Gy）-2,-0.7695404163887386,1g+6.5,DDAC,15
900,SR（6.5 Gy）-3,-0.7198173075033917,1g+6.5,DDAC,15
920,SR（6.5 Gy）-1,-0.6319725886742134,1g+6.5,DDAC,15.333333333333334
920,SR（6.5 Gy）-2,-0.7613776024629393,1g+6.5,DDAC,15.333333333333334
920,SR（6.5 Gy）-3,-0.7224980074579188,1g+6.5,DDAC,15.333333333333334
940,SR（6.5 Gy）-1,-0.5923963927395632,1g+6.5,DDAC,15.666666666666666
940,SR（6.5 Gy）-2,-0.7683103999076507,1g+6.5,DDAC,15.666666666666666
940,SR（6.5 Gy）-3,-0.7641977795967955,1g+6.5,DDAC,15.666666666666666
960,SR（6.5 Gy）-1,-0.5950971140257211,1g+6.5,DDAC,16
960,SR（6.5 Gy）-2,-0.7651794731010625,1g+6.5,DDAC,16
960,SR（6.5 Gy）-3,-0.7274622600575743,1g+6.5,DDAC,16
980,SR（6.5 Gy）-1,-0.617845631710785,1g+6.5,DDAC,16.333333333333332
980,SR（6.5 Gy）-2,-0.767639489400863,1g+6.5,DDAC,16.333333333333332
980,SR（6.5 Gy）-3,-0.7307386809762001,1g+6.5,DDAC,16.333333333333332
1000,SR（6.5 Gy）-1,-0.59810947962118,1g+6.5,DDAC,16.666666666666668
1000,SR（6.5 Gy）-2,-0.767974952985444,1g+6.5,DDAC,16.666666666666668
1000,SR（6.5 Gy）-3,-0.7489078596937915,1g+6.5,DDAC,16.666666666666668
1020,SR（6.5 Gy）-1,-0.6022644687843663,1g+6.5,DDAC,17
1020,SR（6.5 Gy）-2,-0.7735659127542083,1g+6.5,DDAC,17
1020,SR（6.5 Gy）-3,-0.7776012645747916,1g+6.5,DDAC,17
1040,SR（6.5 Gy）-1,-0.6274020944033053,1g+6.5,DDAC,17.333333333333332
1040,SR（6.5 Gy）-2,-0.7636139930353936,1g+6.5,DDAC,17.333333333333332
1040,SR（6.5 Gy）-3,-0.7305401073215013,1g+6.5,DDAC,17.333333333333332
1060,SR（6.5 Gy）-1,-0.5636231438635823,1g+6.5,DDAC,17.666666666666668
1060,SR（6.5 Gy）-2,-0.7583584801888361,1g+6.5,DDAC,17.666666666666668
1060,SR（6.5 Gy）-3,-0.7304408352887909,1g+6.5,DDAC,17.666666666666668
1080,SR（6.5 Gy）-1,-0.6155604155323501,1g+6.5,DDAC,18
