Time,Dose_f,1g,SMG,diff
0.05,13,0.03400585141393578,0.03879722833054408,0.004791376916608303
0.1,13,0.03640659591477085,0.04145212722498293,0.005045531310212084
0.15000000000000002,13,0.03896999068567084,0.04428033182445938,0.005310341138788539
0.2,13,0.04170606263665284,0.04729197951860162,0.005585916881948781
0.25,13,0.044625313334052924,0.0504976362934118,0.005872322959358876
0.30000000000000004,13,0.047738720176532315,0.05390829108576589,0.0061695709092335765
0.35000000000000003,13,0.05105773379107495,0.05753534586248908,0.006477612071414132
0.4,13,0.05459427103177289,0.06139060082772504,0.006796329795952148
0.45,13,0.05836070291269134,0.06548623412504025,0.007125531212348907
0.5,13,0.06236983675706324,0.06983477536843306,0.00746493861136982
0.55,13,0.06663489180042227,0.07444907231122244,0.00781418051080017
0.6000000000000001,13,0.07116946744736058,0.07934224994607383,0.008172782498713255
0.65,13,0.07598750335313699,0.084527661325898,0.008540157972761003
0.7000000000000001,13,0.08110323048553797,0.09001882940707985,0.008915598921541881
0.75,13,0.08653111232280425,0.09582937924676152,0.009298266923957271
0.8,13,0.09228577536408643,0.10197295993825052,0.009687184574164093
0.8500000000000001,13,0.09838192817412873,0.10846315574670347,0.010081227572574736
0.9,13,0.10483426825829406,0.115313386014685,0.010479117756390932
0.9500000000000001,13,0.1116573761723457,0.12253679354750256,0.010879417375156866
1,13,0.11886559641820695,0.13014612136444975,0.011280524946242806
1.05,13,0.12647290486653873,0.13815357791671554,0.01168067305017681
1.1,13,0.13449276268304006,0.14657069112722826,0.012077928444188202
1.1500000000000001,13,0.14293795702056722,0.1554081519023805,0.012470194881813279
1.2000000000000002,13,0.15182042907468013,0.16467564809902788,0.012855219024347747
1.25,13,0.16115109048541176,0.17438169029904227,0.013230599813630506
1.3,13,0.17093962949986688,0.18453343114235973,0.013593801642492853
1.35,13,0.18119430878280177,0.19513648038961576,0.013942171606813991
1.4000000000000001,13,0.19192175726644517,0.20619471831601827,0.014272961049573096
1.4500000000000002,13,0.20312675895370783,0.21771011046507596,0.014583351511368137
