timepoint,condition,dose_Gy,contrast,source_file,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00755,17471.7324739877,1.09687584462439e-6,0.00144267652915374,0.768547746015674,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00760,11006.685455532,4.55845720255405e-7,0.00144268189800551,0.88643292622382,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00765,4823.26122811949,1.11860727543981e-6,0.00144268090633892,0.73035553004765,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00770,10191.0378142704,7.18306554098123e-7,0.0014426788957289,0.837180942371224,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00775,12020.409054322,1.83893436104753e-6,0.00144267668769401,0.619906553800651,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00780,9222.71934246274,3.03614116482754e-6,0.00144267585667338,0.435502419074917,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00785,19878.7133977813,2.69204778326485e-6,0.00144268127175036,0.418223514275528,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00790,6359.34011128771,3.85294670605845e-6,0.00144268006290476,0.281690886203582,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00795,12513.7544144371,2.83886244985444e-6,0.00144268190708373,0.384060029556896,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00800,20318.8120776034,1.67014689056103e-6,0.00144268203038234,0.594115046900756,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00805,12050.4033372106,2.36509519208598e-6,0.00144268101504285,0.475531464540798,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00810,16040.7743853265,1.83269710069345e-6,0.00144268223034056,0.560142953957872,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00815,5121.65509575349,5.79856287292352e-6,0.00144267940123819,0.142678448461892,0.998875337679648
