treatment,group,time,mean_rel,sd_rel,time_h
Baseline,SMG,240,-0.2184114783743762,0.09008287487919206,4
Baseline,SMG,260,-0.2424120445619135,0.1078036003953535,4.333333333333333
Baseline,SMG,280,-0.24080748494383006,0.11531380168685733,4.666666666666667
Baseline,SMG,300,-0.24739994098599447,0.11464100303742443,5
Baseline,SMG,320,-0.2611738130694526,0.11114935329190755,5.333333333333333
Baseline,SMG,340,-0.25819730414555075,0.11887200742913136,5.666666666666667
Baseline,SMG,360,-0.2531465241769022,0.10758761255717647,6
Baseline,SMG,380,-0.23633278603348032,0.13062557499919641,6.333333333333333
Baseline,SMG,400,-0.23257147018676366,0.13252396506762323,6.666666666666667
Baseline,SMG,420,-0.25316026357782345,0.10413546742650448,7
Baseline,SMG,440,-0.24376266252233378,0.12245755553220529,7.333333333333333
Baseline,SMG,460,-0.2154652292349241,0.16121897716382397,7.666666666666667
Baseline,SMG,480,-0.17832048165421877,0.23222356990280552,8
Baseline,SMG,500,-0.19127300056785962,0.19547754959717326,8.333333333333334
Baseline,SMG,520,-0.15693176234974743,0.2205280924854944,8.666666666666666
Baseline,SMG,540,-0.1437121041905263,0.21402816905409341,9
Baseline,SMG,560,-0.12315946861608935,0.20205510280632458,9.333333333333334
Baseline,SMG,580,-0.09486733427014381,0.19780452142181434,9.666666666666666
Baseline,SMG,600,-0.06589472880562366,0.20452367542164337,10
Baseline,SMG,620,-0.03127418033504728,0.2052274914668221,10.333333333333334
Baseline,SMG,640,0.004504710672805204,0.2421218067895046,10.666666666666666
Baseline,SMG,660,0.03755624310530617,0.23015395035061872,11
Baseline,SMG,680,0.043053379466832666,0.21456562888429975,11.333333333333334
Baseline,SMG,700,0.08716303348676722,0.21613161513289356,11.666666666666666
Baseline,SMG,720,0.10591799119629178,0.21804071786053195,12
Baseline,SMG,740,0.12313652382575721,0.2027102612508259,12.333333333333334
Baseline,SMG,760,0.14141242577151045,0.17730237961616582,12.666666666666666
Baseline,SMG,780,0.15483931342235224,0.16775390168424975,13
Baseline,SMG,800,0.1485637359329516,0.13490777894164077,13.333333333333334
Baseline,SMG,820,0.16649257299745823,0.11527684600699223,13.666666666666666
Baseline,SMG,840,0.17099433400163552,0.11473814654373372,14
Baseline,SMG,860,0.1825451771783616,0.10175442978829208,14.333333333333334
Baseline,SMG,880,0.1871690332689265,0.09545800519394926,14.666666666666666
Baseline,SMG,900,0.1837151171617539,0.09361231412862017,15
Baseline,SMG,920,0.20011770482761454,0.0797325359648085,15.333333333333334
Baseline,SMG,940,0.18847591966896665,0.08885889846381527,15.666666666666666
Baseline,SMG,960,0.18489308055055392,0.11021074398270286,16
Baseline,SMG,980,0.23020205170545038,0.0873556349622838,16.333333333333332
Baseline,SMG,1000,0.22816896462056438,0.09705979958488288,16.666666666666668
Baseline,SMG,1020,0.18330537209570955,0.11480752029603906,17
Baseline,SMG,1040,0.1486313915240267,0.13894616604669394,17.333333333333332
Baseline,SMG,1060,0.13037803023691608,0.1358171288908344,17.666666666666668
Baseline,SMG,1080,0.11195408644739743,0.1530242522724871,18
Baseline,SMG,1100,0.1076255359052685,0.1722287958328122,18.333333333333332
Baseline,SMG,1120,0.09112643189295512,0.17797318028344145,18.666666666666668
Baseline,SMG,1140,0.08259558644907602,0.19942833967589563,19
Baseline,SMG,1160,0.07405032882675758,0.21223854793151384,19.333333333333332
Baseline,SMG,1180,0.06387557757311492,0.24481086319657405,19.666666666666668
Baseline,SMG,1200,0.051428601047295186,0.2806015393935953,20
Baseline,SMG,1220,0.0415196523060124,0.3137023839580353,20.333333333333332
Baseline,SMG+13,0,0,0,0
Baseline,SMG+13,20,-0.015952982118163386,0.02677761599339638,0.3333333333333333
Baseline,SMG+13,40,-0.025181444239008977,0.03749532016154872,0.6666666666666666
Baseline,SMG+13,60,-0.027781368905020552,0.04164754718870355,1
Baseline,SMG+13,80,-0.005826722835219617,0.06310502794035625,1.3333333333333333
Baseline,SMG+13,100,-0.005554062653936376,0.08901462662021034,1.6666666666666667
Baseline,SMG+13,120,-0.012870286046170647,0.11047066588694524,2
Baseline,SMG+13,140,-0.019571580491059417,0.13483356386749018,2.3333333333333335
Baseline,SMG+13,160,-0.026777278693432167,0.15688150459977648,2.6666666666666665
Baseline,SMG+13,180,-0.023065816437604178,0.1888827480451196,3
Baseline,SMG+13,200,-0.018990514604250143,0.215557563337989,3.3333333333333335
Baseline,SMG+13,220,-0.017163727989781826,0.24297806163323968,3.6666666666666665
Baseline,SMG+13,240,-0.011633670696166895,0.26956476451235495,4
Baseline,SMG+13,260,-0.008184526486905114,0.2910169126724813,4.333333333333333
Baseline,SMG+13,280,-0.004803352757319329,0.30640679770678203,4.666666666666667
Baseline,SMG+13,300,8.591579980046227e-4,0.3221310096647615,5
Baseline,SMG+13,320,0.0037178459052561175,0.3327867518510151,5.333333333333333
Baseline,SMG+13,340,0.009080260729810146,0.3397084852075958,5.666666666666667
Baseline,SMG+13,360,0.016900648874022872,0.3503349355361587,6
Baseline,SMG+13,380,0.021396586905235587,0.3607233102806392,6.333333333333333
Baseline,SMG+13,400,0.026112998271316447,0.3682966502658775,6.666666666666667
Baseline,SMG+13,420,0.03582284179368762,0.37388131687093856,7
Baseline,SMG+13,440,0.047710786369478536,0.3839408585672816,7.333333333333333
Baseline,SMG+13,460,0.056882105294612885,0.389585665639463,7.666666666666667
Baseline,SMG+13,480,0.08071884140076066,0.40394994154122194,8
Baseline,SMG+13,500,0.09363835609266558,0.40983897410798853,8.333333333333334
Baseline,SMG+13,520,0.11466480474587812,0.42547410272880043,8.666666666666666
Baseline,SMG+13,540,0.13881670759296574,0.43868529232064096,9
Baseline,SMG+13,560,0.1569478343552134,0.4495693019716873,9.333333333333334
Baseline,SMG+13,580,0.17915907114436114,0.4709059291155358,9.666666666666666
Baseline,SMG+13,600,0.20533051773650074,0.49355252192338656,10
Baseline,SMG+13,620,0.22889804128857216,0.5100506691716074,10.333333333333334
Baseline,SMG+13,640,0.24173400960101854,0.5080855360864116,10.666666666666666
Baseline,SMG+13,660,0.2586665983009385,0.5203368903203349,11
Baseline,SMG+13,680,0.27133398109502405,0.5211285231816117,11.333333333333334
Baseline,SMG+13,700,0.2847837065986808,0.5159073691680884,11.666666666666666
Baseline,SMG+13,720,0.29889199293534446,0.5172447942093834,12
Baseline,SMG+13,740,0.3110256343430953,0.5077614818902466,12.333333333333334
Baseline,SMG+13,760,0.3183734482430469,0.49211186121196093,12.666666666666666
Baseline,SMG+13,780,0.3256013704908893,0.4830297537884389,13
Baseline,SMG+13,800,0.325112342644324,0.47337018359391503,13.333333333333334
Baseline,SMG+13,820,0.32460344426428345,0.46176265315606274,13.666666666666666
Baseline,SMG+13,840,0.3267448582978172,0.45445721508773085,14
Baseline,SMG+13,860,0.343877145341471,0.4659509926854265,14.333333333333334
Baseline,SMG+13,880,0.3545736931084391,0.46409852062778195,14.666666666666666
Baseline,SMG+13,900,0.36263275603138784,0.46140133698185226,15
Baseline,SMG+13,920,0.3896024701394266,0.47172132633638236,15.333333333333334
Baseline,SMG+13,940,0.3982539276048921,0.47414511538600607,15.666666666666666
Baseline,SMG+13,960,0.38104371012581295,0.4589067588171341,16
Baseline,SMG+13,980,0.4040339835549424,0.4707182723389457,16.333333333333332
Baseline,SMG+13,1000,0.3838286170973051,0.4600517474711778,16.666666666666668
Baseline,SMG+13,1020,0.3614169735222473,0.44303434201041,17
Baseline,SMG+13,1040,0.3558749099138826,0.4389288164684427,17.333333333333332
Baseline,SMG+13,1060,0.355394009471361,0.4421854781231057,17.666666666666668
Baseline,SMG+13,1080,0.35709836876575574,0.44953333098258047,18
Baseline,SMG+13,1100,0.3584136319266321,0.4516887136910467,18.333333333333332
Baseline,SMG+13,1120,0.3545378548538354,0.44965751726888736,18.666666666666668
