gene,log2FoldChange,padj,KO,def,timepoint,condition,dose,contrast
HC660_RS13385,-1.90790196260701,0.0266919589553435,NA,,10 h,1g,19.5,1g_19.5
HC660_RS14270,-1.13610544765819,0.00786477434066638,NA,,10 h,1g,19.5,1g_19.5
HC660_RS14525,-2.40043618077174,0.00147985640458209,K05339,lrgB; holin-like protein LrgB,10 h,1g,19.5,1g_19.5
HC660_RS14530,-2.79689950940109,0.00226986205283512,K05338,lrgA; holin-like protein,10 h,1g,19.5,1g_19.5
HC660_RS15525,-1.45241964335475,0.0495519204740189,NA,,10 h,1g,19.5,1g_19.5
HC660_RS15555,-1.75661860712774,0.0274852189106593,NA,,10 h,1g,19.5,1g_19.5
HC660_RS15880,-1.46267280245114,0.0202948047607756,NA,,10 h,1g,19.5,1g_19.5
HC660_RS15915,-1.98946871396512,2.8553590907328e-4,K11616,maeN; malate:Na+ symporter,10 h,1g,19.5,1g_19.5
HC660_RS16155,-1.10756172509644,0.0244345240530431,NA,,10 h,1g,19.5,1g_19.5
HC660_RS16610,-1.1394856943961,0.0132455166065892,K04047,dps; starvation-inducible DNA-binding protein,10 h,1g,19.5,1g_19.5
HC660_RS16870,-1.2606654940484,0.0130619528877693,NA,,10 h,1g,19.5,1g_19.5
HC660_RS16895,-1.05510794185459,0.00371686420241152,K07213,"ATOX1, ATX1, copZ, golB; copper chaperone",10 h,1g,19.5,1g_19.5
HC660_RS16900,-1.85597606502958,0.0140237396581752,K21600,"csoR, ricR; CsoR family transcriptional regulator, copper-sensing transcriptional repressor",10 h,1g,19.5,1g_19.5
HC660_RS17050,-1.56897116793616,0.0275835192201271,K05846,opuBD; osmoprotectant transport system permease protein,10 h,1g,19.5,1g_19.5
HC660_RS17145,-1.17743939065297,0.0371585284008166,K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]",10 h,1g,19.5,1g_19.5
HC660_RS17150,-1.51370324123607,0.0309031375350001,K05311,cggR; central glycolytic genes regulator,10 h,1g,19.5,1g_19.5
HC660_RS17240,1.1108571614326,0.0358531691122631,K01224,"E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]",10 h,1g,19.5,1g_19.5
HC660_RS17245,1.20124275830325,0.0202948047607756,K12308,"bgaB, lacA; beta-galactosidase [EC:3.2.1.23]",10 h,1g,19.5,1g_19.5
HC660_RS18505,-1.0586171826463,0.0484858315384895,NA,,10 h,1g,19.5,1g_19.5
HC660_RS18595,1.05000321064415,0.0222709575082365,K01430,ureA; urease subunit gamma [EC:3.5.1.5],10 h,1g,19.5,1g_19.5
HC660_RS18625,-1.40243539543689,0.0484858315384895,NA,,10 h,1g,19.5,1g_19.5
HC660_RS18680,-1.17952522349105,6.2774488133502e-4,NA,,10 h,1g,19.5,1g_19.5
HC660_RS18780,-1.47826163249739,0.0202948047607756,NA,,10 h,1g,19.5,1g_19.5
HC660_RS18940,-2.75865024508505,0.00760827822761623,NA,,10 h,1g,19.5,1g_19.5
HC660_RS19350,-1.0475468907049,0.0202948047607756,NA,,10 h,1g,19.5,1g_19.5
HC660_RS19405,-1.17290013509179,0.0087804256062985,K19432,slrA; anti-repressor of SlrR,10 h,1g,19.5,1g_19.5
HC660_RS19420,-1.22560338673769,0.0227309223419357,NA,,10 h,1g,19.5,1g_19.5
HC660_RS19455,-1.98146534625723,6.8263416868196e-4,K06518,cidA; holin-like protein,10 h,1g,19.5,1g_19.5
HC660_RS19460,-1.56065201436829,0.00942827732300147,NA,,10 h,1g,19.5,1g_19.5
HC660_RS19615,-1.64972380695921,0.00498993640433242,K02760,"celA, chbB; cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]",10 h,1g,19.5,1g_19.5
HC660_RS19685,-1.5728037326942,0.00192538600920758,K16012,"cydC; ATP-binding cassette, subfamily C, bacterial CydC",10 h,1g,19.5,1g_19.5
HC660_RS19690,-1.43320731227447,0.00760827822761623,K16013,"cydD; ATP-binding cassette, subfamily C, bacterial CydD",10 h,1g,19.5,1g_19.5
HC660_RS20195,1.30965056982521,0.0111968329846613,K06606,iolI; 2-keto-myo-inositol isomerase [EC:5.3.99.11],10 h,1g,19.5,1g_19.5
HC660_RS20200,1.03053806674908,0.0351145740700734,K06605,iolH; myo-inositol catabolism protein IolH,10 h,1g,19.5,1g_19.5
HC660_RS20205,1.1077865181542,0.0399277301574335,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],10 h,1g,19.5,1g_19.5
HC660_RS20210,1.03673884086135,0.0474061888462535,K06610,"iolF; MFS transporter, SP family, inositol transporter",10 h,1g,19.5,1g_19.5
HC660_RS20845,-1.46056667520958,0.0358531691122631,NA,,10 h,1g,19.5,1g_19.5
HC660_RS00885,-1.0291083766435,0.00874431709668854,K16785,ecfT; energy-coupling factor transport system permease protein,10 h,1g,6.5,1g_6.5
HC660_RS00890,-1.26433546191684,0.00664887361995607,K06173,"truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]",10 h,1g,6.5,1g_6.5
HC660_RS01025,1.55164490004989,0.0190593481674584,NA,,10 h,1g,6.5,1g_6.5
HC660_RS01030,1.4459157915072,0.0205248229015322,NA,,10 h,1g,6.5,1g_6.5
HC660_RS01035,1.37392637064404,0.0168680162904534,NA,,10 h,1g,6.5,1g_6.5
HC660_RS01260,-3.57225733081728,1.96724454707895e-24,K15629,CYP152A; fatty-acid peroxygenase [EC:1.11.2.4],10 h,1g,6.5,1g_6.5
HC660_RS01470,-1.62458313915587,3.74026338147933e-5,NA,,10 h,1g,6.5,1g_6.5
HC660_RS01625,-2.37573529233162,3.67958897361024e-7,K00034,gdh; glucose 1-dehydrogenase [EC:1.1.1.47],10 h,1g,6.5,1g_6.5
HC660_RS01630,-1.2801509073848,0.016936556223188,NA,,10 h,1g,6.5,1g_6.5
HC660_RS01635,1.27908558101529,0.0220419144157952,K09815,znuA; zinc transport system substrate-binding protein,10 h,1g,6.5,1g_6.5
HC660_RS01790,-1.12732899149868,0.0497906188501651,NA,,10 h,1g,6.5,1g_6.5
HC660_RS01885,-1.23753860739687,0.0496900959518653,K02575,"NRT2, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter",10 h,1g,6.5,1g_6.5
HC660_RS02100,-1.0292024356821,0.018599079467958,NA,,10 h,1g,6.5,1g_6.5
HC660_RS02285,-1.07192124499022,0.0414977276377506,K02372,fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59],10 h,1g,6.5,1g_6.5
HC660_RS02290,-2.3279191089113,5.98257544312711e-8,NA,,10 h,1g,6.5,1g_6.5
HC660_RS02365,-1.51854834780355,0.0164739844132409,NA,,10 h,1g,6.5,1g_6.5
HC660_RS02370,-1.8947788448383,0.00709707062941704,NA,,10 h,1g,6.5,1g_6.5
HC660_RS02375,-2.50792970923389,6.75652045688502e-6,K09988,lyxA; D-lyxose ketol-isomerase [EC:5.3.1.15],10 h,1g,6.5,1g_6.5
HC660_RS02450,-2.16932626732067,1.06245285567992e-7,K00158,"spxB, poxL; pyruvate oxidase [EC:1.2.3.3]",10 h,1g,6.5,1g_6.5
HC660_RS02455,-1.10952355395822,0.016936556223188,NA,,10 h,1g,6.5,1g_6.5
HC660_RS02480,-1.48343080836245,0.0285948041554963,K06884,K06884; uncharacterized protein,10 h,1g,6.5,1g_6.5
HC660_RS02490,-1.24081132385342,0.0343495788167877,NA,,10 h,1g,6.5,1g_6.5
HC660_RS02500,-1.42252878653911,0.0234638781051395,K07217,ydbD; manganese catalase [EC:1.11.1.6],10 h,1g,6.5,1g_6.5
HC660_RS02980,-1.93897844560412,0.00148853299926498,K03704,cspA; cold shock protein,10 h,1g,6.5,1g_6.5
HC660_RS03130,-1.66727453107099,0.00951326174792773,K15975,K15975; glyoxalase family protein,10 h,1g,6.5,1g_6.5
HC660_RS03250,-1.87172037032703,9.08974563172126e-8,NA,,10 h,1g,6.5,1g_6.5
HC660_RS03315,-1.96831157039873,0.00350398056742685,NA,,10 h,1g,6.5,1g_6.5
HC660_RS03320,-1.6233147447663001,0.027578264755276,NA,,10 h,1g,6.5,1g_6.5
HC660_RS03435,-1.5239592157437,0.016936556223188,NA,,10 h,1g,6.5,1g_6.5
HC660_RS03530,-1.23705994370061,0.00280430658987591,NA,,10 h,1g,6.5,1g_6.5
HC660_RS03535,-1.36052768415267,2.00513918774295e-5,NA,,10 h,1g,6.5,1g_6.5
HC660_RS03630,-2.37867628219865,6.61283756152663e-10,NA,,10 h,1g,6.5,1g_6.5
HC660_RS04055,-1.44385389635848,0.00126562092788833,K14338,"cypD_E, CYP102A, CYP505; cytochrome P450 / NADPH-cytochrome P450 reductase [EC:1.14.14.1 1.6.2.4]",10 h,1g,6.5,1g_6.5
HC660_RS04125,-1.34934995109139,0.00242017780647685,K21902,"yfmP; MerR family transcriptional regulator, repressor of the yfmOP operon",10 h,1g,6.5,1g_6.5
HC660_RS04195,-1.24532623053629,0.0101232282008725,K01728,pel; pectate lyase [EC:4.2.2.2],10 h,1g,6.5,1g_6.5
HC660_RS04200,-2.0195762909763,6.6885455465155e-4,K03319,"TC.DASS; divalent anion:Na+ symporter, DASS family",10 h,1g,6.5,1g_6.5
HC660_RS04305,-1.70917083811909,7.68185277101141e-5,K03310,"TC.AGCS; alanine or glycine:cation symporter, AGCS family",10 h,1g,6.5,1g_6.5
HC660_RS04310,-1.12330129842048,0.0387277543955366,K02819,"treB, treP; trehalose PTS system EIIBC or EIIBCA component [EC:2.7.1.201]",10 h,1g,6.5,1g_6.5
HC660_RS04335,-1.65196268171429,0.00593372677760569,K05520,yhbO; deglycase [EC:3.5.1.124],10 h,1g,6.5,1g_6.5
HC660_RS04350,-2.73399203208912,2.0191124339583e-9,K25307,"wzb, etp; low molecular weight protein-tyrosine phosphatase [EC:3.1.3.48]",10 h,1g,6.5,1g_6.5
HC660_RS04355,-2.65241915176248,2.4748128914886702e-9,NA,,10 h,1g,6.5,1g_6.5
HC660_RS04360,-2.75390101811898,2.6428915213633504e-15,K07058,K07058; membrane protein,10 h,1g,6.5,1g_6.5
HC660_RS04370,-1.71007387879647,6.06366596738634e-5,K07300,"chaA, CAX; Ca2+:H+ antiporter",10 h,1g,6.5,1g_6.5
HC660_RS04375,-1.72165609675874,7.53349891001206e-6,NA,,10 h,1g,6.5,1g_6.5
HC660_RS04435,-1.08048785755355,0.0414977276377506,K21416,"acoA; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]",10 h,1g,6.5,1g_6.5
HC660_RS04440,-1.16551506874458,0.0190593481674584,K21417,"acoB; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]",10 h,1g,6.5,1g_6.5
HC660_RS04445,-1.53683232267342,0.00237625449371226,NA,,10 h,1g,6.5,1g_6.5
HC660_RS04660,-1.15218243223458,0.0459129849029892,NA,,10 h,1g,6.5,1g_6.5
HC660_RS04665,-1.12688925081408,0.00206801088634259,K26996,"sdpI; immunity protein, SdpI family",10 h,1g,6.5,1g_6.5
HC660_RS05030,-1.5223610821646,6.6885455465155e-4,NA,,10 h,1g,6.5,1g_6.5
HC660_RS05300,-1.48467108041065,0.00126562092788833,K06607,iolS; myo-inositol catabolism protein IolS [EC:1.1.1.-],10 h,1g,6.5,1g_6.5
HC660_RS05380,-1.3261275816572,0.00172856883962541,K03315,"nhaC; Na+:H+ antiporter, NhaC family",10 h,1g,6.5,1g_6.5
HC660_RS05755,-2.05877097739015,8.68092270599098e-7,NA,,10 h,1g,6.5,1g_6.5
HC660_RS05760,-2.03037914224192,3.8124998254807e-4,K02250,comK; competence protein ComK,10 h,1g,6.5,1g_6.5
HC660_RS05840,-1.3021896271287,0.00257430818237832,K07120,K07120; uncharacterized protein,10 h,1g,6.5,1g_6.5
HC660_RS06110,-1.6080847310362,0.0013862113150234,NA,,10 h,1g,6.5,1g_6.5
HC660_RS06115,-1.55586115217496,2.0578287979821e-4,NA,,10 h,1g,6.5,1g_6.5
HC660_RS06495,-2.09068800770366,9.89782199497081e-5,NA,,10 h,1g,6.5,1g_6.5
HC660_RS06595,1.37160269302461,0.039409727056321,NA,,10 h,1g,6.5,1g_6.5
HC660_RS06655,-1.0379976564316,0.00280430658987591,K21744,"tipA; MerR family transcriptional regulator, thiopeptide resistance regulator",10 h,1g,6.5,1g_6.5
HC660_RS06710,-2.18886306611074,4.06482749704112e-8,K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]",10 h,1g,6.5,1g_6.5
HC660_RS06715,-1.8141557571629,1.60465979531909e-5,NA,,10 h,1g,6.5,1g_6.5
HC660_RS06945,-1.11332153711831,0.00604191180430285,NA,,10 h,1g,6.5,1g_6.5
HC660_RS06950,-1.23207037629721,0.00490197382463862,NA,,10 h,1g,6.5,1g_6.5
HC660_RS06960,-1.46630755715807,0.0059739219286072,NA,,10 h,1g,6.5,1g_6.5
HC660_RS06970,-1.13442981088973,0.00493331055340436,NA,,10 h,1g,6.5,1g_6.5
HC660_RS07060,-1.07807968137384,0.00937456275794412,K01447,xlyAB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],10 h,1g,6.5,1g_6.5
