gene,log2FoldChange,padj,KO,def,timepoint,condition,dose,contrast
HC660_RS12320,-2.02610752560187,3.4375320172227e-4,NA,,10 h,1g,6.5,1g_6.5
HC660_RS12465,-1.09476700847632,0.0414977276377506,K09793,K09793; uncharacterized protein,10 h,1g,6.5,1g_6.5
HC660_RS13035,1.31913221350261,0.0463110134519513,K15585,"nikB, cntB; nickel transport system permease protein",10 h,1g,6.5,1g_6.5
HC660_RS13040,1.82682648691103,0.016936556223188,K15586,"nikC, cntC; nickel transport system permease protein",10 h,1g,6.5,1g_6.5
HC660_RS13050,2.07922945693602,0.00339355668597218,K10824,"nikE, cntF; nickel transport system ATP-binding protein [EC:7.2.2.11]",10 h,1g,6.5,1g_6.5
HC660_RS13175,-2.36490585912934,7.99890143232853e-7,NA,,10 h,1g,6.5,1g_6.5
HC660_RS13480,-1.6264639542494,3.08108344662972e-6,K06318,bofC; forespore regulator of the sigma-K checkpoint,10 h,1g,6.5,1g_6.5
HC660_RS13485,-1.76386551388259,1.00352664724351e-8,NA,,10 h,1g,6.5,1g_6.5
HC660_RS13785,-1.64317212197122,0.00443813749752421,NA,,10 h,1g,6.5,1g_6.5
HC660_RS14525,-2.99491516543964,9.81926711521728e-6,K05339,lrgB; holin-like protein LrgB,10 h,1g,6.5,1g_6.5
HC660_RS14530,-3.89153449891602,2.33082296750456e-6,K05338,lrgA; holin-like protein,10 h,1g,6.5,1g_6.5
HC660_RS21250,-1.86814103361893,6.4299183387372e-4,NA,,10 h,1g,6.5,1g_6.5
HC660_RS14900,-1.92065725583139,5.25331754948961e-6,K26959,brxC; monothiol bacilliredoxin,10 h,1g,6.5,1g_6.5
HC660_RS14905,-1.83301758172364,2.365136534924e-4,NA,,10 h,1g,6.5,1g_6.5
HC660_RS14910,-1.73012834578811,0.00280430658987591,NA,,10 h,1g,6.5,1g_6.5
HC660_RS15100,-1.1440137858152,0.00436089488011731,NA,,10 h,1g,6.5,1g_6.5
HC660_RS15135,-1.77470371949903,2.365136534924e-4,NA,,10 h,1g,6.5,1g_6.5
HC660_RS15580,-1.71528425073508,0.0140248954217735,NA,,10 h,1g,6.5,1g_6.5
HC660_RS15585,-1.9080303329452,2.8533771270228e-4,NA,,10 h,1g,6.5,1g_6.5
HC660_RS15915,-2.30231616126255,2.88947813108331e-6,K11616,maeN; malate:Na+ symporter,10 h,1g,6.5,1g_6.5
HC660_RS16100,1.1050330372468,0.0469341401804237,K01252,"entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]",10 h,1g,6.5,1g_6.5
HC660_RS16105,2.12888483965596,3.4375320172227e-4,K02363,"entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate---[aryl-carrier protein] ligase [EC:6.3.2.14 6.2.1.71]",10 h,1g,6.5,1g_6.5
HC660_RS16110,1.76700942698302,0.00452936389656902,K02361,entC; isochorismate synthase [EC:5.4.4.2],10 h,1g,6.5,1g_6.5
HC660_RS16305,-1.50877168969921,0.00280430658987591,NA,,10 h,1g,6.5,1g_6.5
HC660_RS16560,-1.27783273536892,0.00741616737109741,NA,,10 h,1g,6.5,1g_6.5
HC660_RS16720,-1.05385701256525,0.00170037289181592,NA,,10 h,1g,6.5,1g_6.5
HC660_RS16840,-1.70408185671471,5.3792796610744e-4,NA,,10 h,1g,6.5,1g_6.5
HC660_RS16895,-1.23546803466375,1.5053819621098e-4,K07213,"ATOX1, ATX1, copZ, golB; copper chaperone",10 h,1g,6.5,1g_6.5
HC660_RS16900,-1.93068093074705,0.00558879235924158,K21600,"csoR, ricR; CsoR family transcriptional regulator, copper-sensing transcriptional repressor",10 h,1g,6.5,1g_6.5
HC660_RS16960,-1.30874604003099,0.0140375322006207,K12573,"rnr, vacB; ribonuclease R [EC:3.1.13.1]",10 h,1g,6.5,1g_6.5
HC660_RS16965,-1.27568833558382,0.023466294098723,K03928,yvaK; carboxylesterase [EC:3.1.1.1],10 h,1g,6.5,1g_6.5
HC660_RS16985,-1.30944235926838,0.00207597116476027,K22299,"rghR; HTH-type transcriptional regulator, competence development regulator",10 h,1g,6.5,1g_6.5
HC660_RS17065,-1.41863631708341,0.0285948041554963,K05847,opuA; osmoprotectant transport system ATP-binding protein [EC:7.6.2.9],10 h,1g,6.5,1g_6.5
HC660_RS17220,1.32520694348169,0.0381507252630435,NA,,10 h,1g,6.5,1g_6.5
HC660_RS17225,2.39591638628684,6.6885455465155e-4,NA,,10 h,1g,6.5,1g_6.5
HC660_RS17425,-1.11849752221827,0.00179796033090141,K00692,sacB; levansucrase [EC:2.4.1.10],10 h,1g,6.5,1g_6.5
HC660_RS17740,-1.08571814584413,6.2153238335237e-8,K03701,uvrA; excinuclease ABC subunit A,10 h,1g,6.5,1g_6.5
HC660_RS17745,-1.03982830110956,1.4337668721814e-4,K03702,uvrB; excinuclease ABC subunit B,10 h,1g,6.5,1g_6.5
HC660_RS17820,1.65621110916404,0.00504341781098468,NA,,10 h,1g,6.5,1g_6.5
HC660_RS18110,-1.1290732363394,0.0398203139011795,K06292,gerBB; spore germination protein BB,10 h,1g,6.5,1g_6.5
HC660_RS18115,-2.00124019540107,1.4337668721814e-4,K06293,gerBC; spore germination protein BC,10 h,1g,6.5,1g_6.5
HC660_RS18120,-1.54300199252179,0.00514117147469677,K06609,"iolT; MFS transporter, SP family, major inositol transporter",10 h,1g,6.5,1g_6.5
HC660_RS18195,-1.07673204401477,0.0131049405089008,NA,,10 h,1g,6.5,1g_6.5
HC660_RS18605,-2.50510050484404,1.39163236973984e-6,K11962,urtD; urea transport system ATP-binding protein,10 h,1g,6.5,1g_6.5
HC660_RS18610,-2.1142298976395,6.42673822541325e-5,K11961,urtC; urea transport system permease protein,10 h,1g,6.5,1g_6.5
HC660_RS18615,-2.48834206892199,4.92148835782782e-5,K11960,urtB; urea transport system permease protein,10 h,1g,6.5,1g_6.5
HC660_RS18620,-1.46228389244905,0.00292723123988336,K11959,urtA; urea transport system substrate-binding protein,10 h,1g,6.5,1g_6.5
HC660_RS18625,-3.54217655744586,1.03855209338784e-6,NA,,10 h,1g,6.5,1g_6.5
HC660_RS21395,-1.40571171656478,7.03223286604782e-5,NA,,10 h,1g,6.5,1g_6.5
HC660_RS18905,-1.68951335394669,2.00513918774295e-5,K06147,"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",10 h,1g,6.5,1g_6.5
HC660_RS18910,-1.09714047416866,0.0460561870248107,K06131,clsA_B; cardiolipin synthase A/B [EC:2.7.8.-],10 h,1g,6.5,1g_6.5
HC660_RS19390,-1.04106144652242,0.00174195807484034,K00849,"galK, GALK1; galactokinase [EC:2.7.1.6]",10 h,1g,6.5,1g_6.5
HC660_RS19455,-1.85756024057496,4.7815637749744e-4,K06518,cidA; holin-like protein,10 h,1g,6.5,1g_6.5
HC660_RS19460,-1.1712237228025,0.0295374127663921,NA,,10 h,1g,6.5,1g_6.5
HC660_RS19530,-1.12661088638851,0.0445054080526942,NA,,10 h,1g,6.5,1g_6.5
HC660_RS19630,-1.68013209042854,9.42123714667707e-5,K03652,MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21],10 h,1g,6.5,1g_6.5
HC660_RS19635,-1.89857100283078,7.76068960258781e-7,K03781,"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]",10 h,1g,6.5,1g_6.5
HC660_RS19680,-1.00328893837133,0.0235448720070106,K17758,nnrD; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136],10 h,1g,6.5,1g_6.5
HC660_RS19685,-1.27047659291744,0.00593372677760569,K16012,"cydC; ATP-binding cassette, subfamily C, bacterial CydC",10 h,1g,6.5,1g_6.5
HC660_RS19690,-1.53615805418227,0.00179112671184432,K16013,"cydD; ATP-binding cassette, subfamily C, bacterial CydD",10 h,1g,6.5,1g_6.5
HC660_RS19845,-1.38494264434097,0.00474611841559964,NA,,10 h,1g,6.5,1g_6.5
HC660_RS19850,-1.62355971115133,0.00228223802388721,K03781,"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]",10 h,1g,6.5,1g_6.5
HC660_RS20080,-1.03308394264885,0.0264095082081862,NA,,10 h,1g,6.5,1g_6.5
HC660_RS20115,-1.24762837923148,0.00187729038391339,K24117,scmL; S-(2-succino)cysteine N-acetyltransferase [EC:2.3.1.-],10 h,1g,6.5,1g_6.5
HC660_RS20120,-1.15441427190273,2.9706809026713e-4,K24116,scmK; N-acetyl-S-(2-succino)cysteine monooxygenase [EC:1.14.-.-],10 h,1g,6.5,1g_6.5
HC660_RS20160,1.16075631052875,0.00593372677760569,K25308,"fhuD, ftsB, siuD; ferric hydroxamate/heme transport system substrate-binding protein",10 h,1g,6.5,1g_6.5
HC660_RS20260,-2.53030574273228,2.4748128914886702e-9,K06609,"iolT; MFS transporter, SP family, major inositol transporter",10 h,1g,6.5,1g_6.5
